tid,date_created,text,favorite_count,retweet_count
555208352624828416,2015-01-13 22:42:41,Proveeduría Caja de Ahorros CICPC @fdelrincon #AnaquelesVaciosEnVenezuela #ConcluESCASEZ2 #Venezuela pic.twitter.com/59YletJ1aN,0,1
552641518134370304,2015-01-06 20:43:00,"Cubazuela en vivo!! El Pais del ""NO HAY"" #AnaquelesVaciosEnVenezuela . Renuncia Ya!!",0,1
552546964857171968,2015-01-06 14:27:16,#AnaquelesVacíosEnVenezuela 2 harina y bastante PATRIA vas a seguir mendigando o vas a salir a pelear x tus derechos? pic.twitter.com/RDkblplJ6y,0,1
552274250858762240,2015-01-05 20:23:36,#AnaquelesVaciosEnVenezuela #liberen a los presos políticos. NO al canje de Leopoldo Lopez. Renuncia Ya!!!,0,0
552232144047964160,2015-01-05 17:36:17,MADRE POLITICA ROJA! @reiaresnd : @tony_vet :En Ratan 4mayoMargarita hay vta mayor d vacíos #AnaquelesVaciosEnVenezuela pic.twitter.com/ui1vr87iie,1,1
552226331576918018,2015-01-05 17:13:11,"PIN IT!!! @NelsonJaramill1 : @Critiquero @edgarlampe #AnaquelesVaciosEnVenezuela No es q comida sea cara,el Bs.No vale nada. Legado d Chavez!",0,1
552215049239277569,2015-01-05 16:28:22,"Entendamos algo,solo se exhibe la punta del Iceberg TODOS LOS ANAQUELES DE TODAS PARTES VACIOS COMIDA NO HAY #AnaquelesVaciosEnVenezuela",0,0
551903479661625346,2015-01-04 19:50:18,@traffiCARACAS @carljavie #Caracas mas dinero para q los robolucionerios se embolsillen #AnaquelesVaciosenVenezuela,0,2
551892317922418691,2015-01-04 19:05:56,#AnaquelesVaciosEnVenezuela #unamejorvzla pic.twitter.com/cbCtkaO3rL,0,0
551886293664534528,2015-01-04 18:42:00,"No hay café, azúcar, h.pan, jabón para lavar. Manteq"" @yaghipsy75 : #AnaquelesVaciosEnVenezuela no hay comida en Venezuela..renuncia Nicolas.""",0,7
551886179491405824,2015-01-04 18:41:33,aquí tenemos los mejores cócteles para tus rumba #SIGUEMEYTESIGO #MeDaBroncaCuando #AnaquelesVaciosEnVenezuela pic.twitter.com/9meN0a5kvC,0,0
551849654498103296,2015-01-04 16:16:25,#AnaquelesVaciosEnVenezuela,0,1
551842900888539136,2015-01-04 15:49:34,#AnaquelesVaciosEnVenezuela y entonces @NicolasMaduro que fue la payasada que dijiste? Que alguien me explique porque no entiendo #4E,0,2
551797043531096064,2015-01-04 12:47:21,""" @ResistenciaV58 : MAKRO, La Yaguara #AnaquelesVaciosEnVenezuela pic.twitter.com/lZo9dgFps9 """,0,6
551796768980357121,2015-01-04 12:46:16,""" @lperezv : "" #4E #AnaquelesVaciosEnVenezuela Asi estan los super en #Valera #Trujillo pic.twitter.com/avecDUCf95 via @FernandoJoseM20 """"",0,7
551796345066250240,2015-01-04 12:44:35,"Maracay #4E SuperLider. Anarquía, gritos, golpes. Hasta llegó el CICPC a cuidar el jabón. #AnaquelesVaciosEnVenezuela pic.twitter.com/GeRzHeiHa5",1,2
551765203642097664,2015-01-04 10:40:50,"Mi experiencia con los #AnaquelesVaciosEnVenezuela @Manzanares, Caracas http:// instagram.com/p/wp0U4-inkE/",0,0
551734323532288000,2015-01-04 08:38:08,"#AnaquelesVaciosEnVenezuela En este pais no puede haber saqueo!! Porq no se tiene nada para saquear!! Hasta la chucheria, ferreteria",1,2
551733409052360704,2015-01-04 08:34:30,#AnaquelesVaciosEnVenezuela Golpe suave!! El q las empresas expropiadas no produzcan es un golpe suave?Entonces el golpe es del gobierno!!,0,1
551733010694164480,2015-01-04 08:32:55,#AnaquelesVaciosEnVenezuela El cerebro de muchos chavista esta vacio! Al seguir respondiendo cosas sin sentido a la crisis!!,0,0
