tid,date_created,text,favorite_count,retweet_count
555208352624828416,2015-01-13 22:42:41,Proveeduría Caja de Ahorros CICPC @fdelrincon #AnaquelesVaciosEnVenezuela #ConcluESCASEZ2 #Venezuela pic.twitter.com/59YletJ1aN,0,1
553661200266199040,2015-01-09 16:14:51,"""¡INSÓLITO! Supermer. ESCONDEN escasez d productos con CORTINAS http://www. rietedelgobierno.net/2015/01/07/ins olito-supermercados-esconden-escasez-de-productos-con-cortinas-fotos/ … pic.twitter.com/LpO9vqd6VQ "" #AnaquelesVaciosEnVenezuela",0,0
553656989503725569,2015-01-09 15:58:07,"""Hablando de hijos de PAPA! Q hacia el hijo d @NicolasMaduro en la gira @VillegasPoljakE pic.twitter.com/kTIW54jrRx "" #AnaquelesVaciosEnVenezuela",0,1
552661622159060993,2015-01-06 22:02:53,#AnaquelesVaciosEnVenezuela #anaPlanSuarezlaurbina pic.twitter.com/vh7PC7l0sQ,0,0
552641518134370304,2015-01-06 20:43:00,"Cubazuela en vivo!! El Pais del ""NO HAY"" #AnaquelesVaciosEnVenezuela . Renuncia Ya!!",0,1
552604802006654977,2015-01-06 18:17:06,"#AnaquelesVaciosEnVenezuela “Más de un millón 300 mil dólares cuesta viaje de @NicolasMaduro a Rusia, China e Irán” http:// patil.la/1DuWrUV """,2,1
552574029119627264,2015-01-06 16:14:49,""" @rbriceno2009 : No dejes qtcaigan a cuentos! #AnaquelesVaciosEnVenezuela (Video) http://www. lapatilla.com/site/2015/01/0 6/no-dejes-que-te-caigan-a-cuentos-anaquelesvaciosenvenezuela-video/ … vía @la_patilla "" Vergonzosa realidad",1,1
552560659364589568,2015-01-06 15:21:41,"Bicentenario Macaracuay cerrado "" Por inventario"" Gama cola descomunal para 2 kg de azúcar #AnaquelesVaciosEnVenezuela",0,1
552274250858762240,2015-01-05 20:23:36,#AnaquelesVaciosEnVenezuela #liberen a los presos políticos. NO al canje de Leopoldo Lopez. Renuncia Ya!!!,0,0
552232144047964160,2015-01-05 17:36:17,MADRE POLITICA ROJA! @reiaresnd : @tony_vet :En Ratan 4mayoMargarita hay vta mayor d vacíos #AnaquelesVaciosEnVenezuela pic.twitter.com/ui1vr87iie,1,1
552226331576918018,2015-01-05 17:13:11,"PIN IT!!! @NelsonJaramill1 : @Critiquero @edgarlampe #AnaquelesVaciosEnVenezuela No es q comida sea cara,el Bs.No vale nada. Legado d Chavez!",0,1
551943739066036224,2015-01-04 22:30:16,"precios justos?,alli están las expropiaciones,somos el país más pobre de latino america culpa de los rojos #AnaquelesVaciosEnVenezuela",0,0
551923202491183104,2015-01-04 21:08:40,@AntoniaNunez05 @DRadicales . #AnaquelesVaciosEnVenezuela @NicolasMaduro,0,1
551918662786232320,2015-01-04 20:50:38,""" @ResistenciaV58 : ""La ignorancia se paga con hambre"" #AnaquelesVaciosEnVenezuela """,0,1
551892317922418691,2015-01-04 19:05:56,#AnaquelesVaciosEnVenezuela #unamejorvzla pic.twitter.com/cbCtkaO3rL,0,0
551886179491405824,2015-01-04 18:41:33,aquí tenemos los mejores cócteles para tus rumba #SIGUEMEYTESIGO #MeDaBroncaCuando #AnaquelesVaciosEnVenezuela pic.twitter.com/9meN0a5kvC,0,0
551849654498103296,2015-01-04 16:16:25,#AnaquelesVaciosEnVenezuela,0,1
551842900888539136,2015-01-04 15:49:34,#AnaquelesVaciosEnVenezuela y entonces @NicolasMaduro que fue la payasada que dijiste? Que alguien me explique porque no entiendo #4E,0,2
551834733274218496,2015-01-04 15:17:07,""" @ginomandoloni : “ @GerardoArteagaM : Makro del tigre completamente vacio pic.twitter.com/BbFDBNMJ7Q ” Mas ejemplos "" #AnaquelesVaciosEnVenezuela",0,0
551823340684726272,2015-01-04 14:31:51,""" @TachiraFuerte : CAGUA Central Madeirense, 4 de enero #AnaquelesVaciosEnVenezuela pic.twitter.com/EXRk6ZfwrK """,0,10
551809224519745536,2015-01-04 13:35:45,"Libertad@leopoldolopez ""@ApoyoA_Leopoldo:FPV:62 presos políticos esperan libertad n 2015 #AnaquelesVaciosEnVenezuela http:// ow.ly/GLyED """,0,0
551806637334618112,2015-01-04 13:25:29,"Usuarios de Twitter muestran realidad del país con la tendencia: #AnaquelesVaciosEnVenezuela "" http:// el-nacional.com/economia/Usuar …",0,0
551799280722542592,2015-01-04 12:56:15,"Nueva Esparta ""Puro fosforos y arroz en la isla de Margarita"" #AnaquelesVaciosEnVenezuela pic.twitter.com/n4AaBUu1LB @soyfdelrincon",0,1
551799071737151489,2015-01-04 12:55:25,"""Si tomas otra foto te mando a meter preso"" ( Fotos) -? https:// bit.ly/1yl7AIZ "" #AnaquelesVaciosEnVenezuela @soyfdelrincon",1,4
551797443705450497,2015-01-04 12:48:57,""" @rafaelaugusto_2 Misión Alimentación trabaja #AnaquelesVaciosEnVenezuela pic.twitter.com/dHBcWEIj3V esa foto del 1999",0,0
551797043531096064,2015-01-04 12:47:21,""" @ResistenciaV58 : MAKRO, La Yaguara #AnaquelesVaciosEnVenezuela pic.twitter.com/lZo9dgFps9 """,0,6
551796768980357121,2015-01-04 12:46:16,""" @lperezv : "" #4E #AnaquelesVaciosEnVenezuela Asi estan los super en #Valera #Trujillo pic.twitter.com/avecDUCf95 via @FernandoJoseM20 """"",0,7
551796345066250240,2015-01-04 12:44:35,"Maracay #4E SuperLider. Anarquía, gritos, golpes. Hasta llegó el CICPC a cuidar el jabón. #AnaquelesVaciosEnVenezuela pic.twitter.com/GeRzHeiHa5",1,2
551793668332732416,2015-01-04 12:33:57,#AnaquelesVaciosEnVenezuela,0,0
551787097678708736,2015-01-04 12:07:50,En Excelsior Gama de Macaracuay sin pan cuadrado ( Holsum o Bimbo ) ya los anaqueles con productos repetidos #AnaquelesVaciosEnVenezuela,0,1
551765203642097664,2015-01-04 10:40:50,"Mi experiencia con los #AnaquelesVaciosEnVenezuela @Manzanares, Caracas http:// instagram.com/p/wp0U4-inkE/",0,0
551744002035548162,2015-01-04 09:16:35,#AnaquelesVaciosEnVenezuela #ArrechateVenezuela .Libertad para los presos politicos. El Pais No se maneja sin timon. Ranuncia Ya!!,0,0
551742739457781760,2015-01-04 09:11:34,#AnaquelesVaciosEnVenezuela #No Permitas que te devaluen mas tu salario#no hay medicinas#No hay comida#>600 muertos en Diciembre.Basta Ya,0,0
551734323532288000,2015-01-04 08:38:08,"#AnaquelesVaciosEnVenezuela En este pais no puede haber saqueo!! Porq no se tiene nada para saquear!! Hasta la chucheria, ferreteria",1,2
551733409052360704,2015-01-04 08:34:30,#AnaquelesVaciosEnVenezuela Golpe suave!! El q las empresas expropiadas no produzcan es un golpe suave?Entonces el golpe es del gobierno!!,0,1
551733010694164480,2015-01-04 08:32:55,#AnaquelesVaciosEnVenezuela El cerebro de muchos chavista esta vacio! Al seguir respondiendo cosas sin sentido a la crisis!!,0,0
551598752256241665,2015-01-03 23:39:25,"@RC_Caracas Automercado ""Abasto de Candido"", sector La Lago, Mcbo, Zulia #AnaquelesVaciosEnVenezuela pic.twitter.com/PLuml4248n",0,1
551578784311558145,2015-01-03 22:20:04,"@RC_Caracas FOTO Makro Valencia, No hay: Charcutería, Quesos, Lacteos, Jugos #AnaquelesVaciosEnVenezuela pic.twitter.com/JIIuSiQveX",0,1
551577986429120515,2015-01-03 22:16:54,"@RC_Caracas Supermercado Garzón, Mérida #AnaquelesVaciosEnVenezuela pic.twitter.com/w76KlSPFEl """,0,0
551552893900558338,2015-01-03 20:37:11,#AnaquelesVaciosEnVenezuela hasta cuando nos vamos a conformar con lo poco que logramos comprar después de horas de cola #DespiertaVenezuela,0,2
