date_created,text,favorite_count,retweet_count,,,,
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,Month,Filtered Tweets
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,December-14,199
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,January-15,632
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,February-15,364
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,March-15,371
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,April-15,278
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,May-15,66
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,June-15,79
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,July-15,110
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,August-15,55
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,September-15,21
12/1/2014 14:12,Hasta las 5 de la tarde estar  activa la Feria Navide¤a de nuestra #sedeccs . ­ Alimentos y regalos a buenos precios! pic.twitter.com/6kG6un9aJ6,5,7,,,October-15,63
12/1/2014 22:51,"Todos los dias m s secuestros, hampa, muerte, robos, escasez , colas, miseria y cada d¡a va empeorando m s! Qu‚ nos gusta de Venezuela?",0,7,,,November-15,11
12/1/2014 22:51,"Todos los dias m s secuestros, hampa, muerte, robos, escasez , colas, miseria y cada d¡a va empeorando m s! Qu‚ nos gusta de Venezuela?",0,7,,,December-15,30
12/1/2014 22:51,"Todos los dias m s secuestros, hampa, muerte, robos, escasez , colas, miseria y cada d¡a va empeorando m s! Qu‚ nos gusta de Venezuela?",0,7,,,January-16,18
12/2/2014 15:16,"Sin sorpresas, vuelve la escasez en rubros que ya hab¡an estabilizado y se agudiza en otros. http:// goo.gl/yrPonr pic.twitter.com/2IowO0UuVl",2,7,,,February-16,72
12/2/2014 15:16,"Sin sorpresas, vuelve la escasez en rubros que ya hab¡an estabilizado y se agudiza en otros. http:// goo.gl/yrPonr pic.twitter.com/2IowO0UuVl",2,7,,,March-16,34
12/2/2014 15:16,"Sin sorpresas, vuelve la escasez en rubros que ya hab¡an estabilizado y se agudiza en otros. http:// goo.gl/yrPonr pic.twitter.com/2IowO0UuVl",2,7,,,April-16,114
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,May-16,64
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,June-16,122
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,July-16,34
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,August-16,18
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,September-16,55
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,,
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,,2810
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,,Tweet ideas  (Doesn't include RT or Fav #s)
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,,
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,,
12/3/2014 14:06,Miranda. Degustaci¢n de alimentos 4s en estaci¢n del ferrocarril. Charallave. #2015A¤oDeProducci¢nYExportaci¢n pic.twitter.com/zvEEbkfbBr,2,15,,,,
