tid,date_created,text,favorite_count,retweet_count
772898779188097024,2016-09-05 16:46:43,"A propósito de la escasez , #Mitos y realidades de las fechas de vencimiento de medicinas http:// flip.it/-JsSV5 pic.twitter.com/ewBBPj0pLk",0,0
761114522589376512,2016-08-04 04:20:17,""" @Twittores : Así como vamos en el año 2050 habrá escasez de alimentos en el mundo #World http://www. grandesmedios.com/asi-ano-2050-h abra-escasez-alimentos-mundo/ … "". O sea, Vzla se adelantó",0,0
752458627542286336,2016-07-11 07:04:51,"Buen día revocar al gobierno es revocar a la dictadura, revocar a la escasez , revocar la corrupción y a la delincuencia, es devolver la paz",0,0
749785124695408641,2016-07-03 22:01:18,""" @josetorohardy : Según la Ministró de Salud la escasez de medicinas es de sólo el 15%. Entre ellas están todas las que yo he necesitado""",0,0
745449839719223296,2016-06-21 22:54:26,La escasez es tan fuente en Venezuela que los gobernantes carecen de cerebro de neuronas @fdelrincon #conclucrisis,0,1
744223195729903616,2016-06-18 13:40:11,@AsambleaVE grave situación atraviesa la industria gráfica y esto repercute en la escasez !,0,0
741462022022369280,2016-06-10 22:48:16,"No es solamente la escasez que cada dia se agudiza mas, se le suma lo costoso de los productos miles de miles de bs. Que no se ganan.",0,0
731534745625088000,2016-05-14 13:20:49,"@sumariumcom Lo dice quien baila salsa en cadena nacional mientras su país es asediado por el hampa, la pobreza y la escasez .",0,0
728739961827119104,2016-05-06 20:15:20,“ @NoticiasVenezue : ¡AGOBIADA POR LA BRUTAL ESCASEZ ! Se suicida por no encontrar comida para sus hijos http:// goo.gl/CFn0o4 ”La Haya..,0,0
728247951357845504,2016-05-05 11:40:16,Maduro crea más burocracia para resolver escasez de equipos quirúrgicos y fármacos: http:// bit.ly/1VJo7lp . pic.twitter.com/j3SMqW0dOG,0,0
720667672086716417,2016-04-14 13:38:57,La escasez de alimentos es culpa de Rodolfo Marco Torres y Felix Osorio http:// buff.ly/1SDI0n4,0,0
720416518958358528,2016-04-13 21:00:57,"No vamos a permitir que nuestro pueblo siga pasando hambre, inseguridad, escasez , la paz y progreso que ellos merecen es nuestra prioridad",0,0
718551188921327616,2016-04-08 17:28:48,""" @ejrl : Aristóbulo afirma categórico y sin una señal de sarcasmo: la inseguridad y escasez son inducidas"" él y sus fumaradas de lumpias!!!",0,0
718172808929525761,2016-04-07 16:25:15,"Sr Maduro escucharlo es algo aberrante,sus niñadas y falsos vocablos dan una inapetencia constante.Hable de la salud, escasez ,inseguridad.",0,0
718158128798429184,2016-04-07 15:26:55,#AmnesiaCriminalNoVa hoy 3 horas de cola en central para comprar un paquete de pañal. Lo q tienen q resolver es la escasez corruptos,0,0
707303503073513472,2016-03-08 15:34:30,"@la_iguanatv Lo que sin duda ha subido es la escasez , la inflación, la angustia y la desesperanza.",0,0
706078848740413440,2016-03-05 06:28:10,""" @botellazo : El chavismo nos hizo vivir escasez en época de vacas gordas. Ahora, en la de vacas flacas nos hace vivir tiempos de miseria""",0,0
705590787187326976,2016-03-03 22:08:47,Polar a un paso de cierre tecnico.Sin divisas no hay produccion. Son producción hay desempleo y más escasez son los únicos que nos alimentan,0,0
702263650896257025,2016-02-23 17:47:56,Reportan escasez de gasolina de 91 octanos en Carabobo http:// dlvr.it/KbNNfk pic.twitter.com/uBsWMQf9fs,0,2
701247384022605824,2016-02-20 22:29:39,@2001OnLine Grito de Libertad inseguridad abuso de poder escasez medicina comida .Mejor dicho de todo.Hambruna.SOS.,0,0
697594622906920960,2016-02-10 20:34:53,"Doloroso ver a nuestros niños disfrazados de "" escasez "" o pasando sus carnavales haciendo colas en supermercados. Sera "" escasez querida""?",0,0
696008676465889280,2016-02-06 11:32:54,Municipio #Guaicaipuro mega cola en el super líder los Teques en la Panamericana. #Escasez … https://www. instagram.com/p/BBc59SGyMxv/,1,11
691720296131354626,2016-01-25 15:32:24,"Carneiro: ""Aquí no hay escasez , aquí hay amor y patria"" http:// bitly.com/1OT7MTg pic.twitter.com/0If7OZexcb será en tu casa ladrón d mierda",1,0
688124691207196679,2016-01-15 17:24:45,"Esto es más memoria y cuentos, hasta cuando habla de la corrupción, inseguridad, escasez , habla de la gravedad en sistema de salud....",0,0
687022798162817024,2016-01-12 16:26:14,"@numamolina Muy triste! Pero vuelva sus ojos hacia Vzla: Escasez , desabastecimiento, sin medicinas, inseguridad, inflación.......",0,0
685961462431526912,2016-01-09 18:08:51,"Inflación, escasez , inseguridad y grosera corrupción, todos juntos a millón y además fuera del control del gobierno #PeroTenemosCuadros",0,1
685900970455363584,2016-01-09 14:08:29,https:// twitter.com/owszmpn/status /685890434275606528 … la escasez y la inseguridad,0,0
684484493072273408,2016-01-05 16:19:54,@JulioBorges ES PRIORIDAD ATACAR LAS COLAS Y LA ESCASEZ TAMBIÉN CONTROLAR LA INSEGURIDAD Y LA INFLACIÓN ESO NO SE MENCIONÓ EN LA AGENDA!,1,0
681138434317127680,2015-12-27 10:43:52,Hay gran escasez de pastillas anticonceptivas ¿Será por eso que ahora noto más niños pequeños llorando en el metro? #FelizDomingo #Venezuela,2,0
675706291222917120,2015-12-12 10:58:28,"Digo hablen sin miedo y exijan las responsabilidades, en cuanto a la inflación, a las colas, a la escasez , a la inseguridad, quienes son",0,0
673700108521852928,2015-12-06 22:06:37,Y que creian que con una inflación avasallante; escasez de alimentos y agua; nepotismo; clientelismo; corrupción galopante; Etc. Etc. Etc.,0,0
673693955473711104,2015-12-06 21:42:10,"La aplicación del modelo marxista (expropiaciones, escasez , inflación, inseguridad) fue la razón básica para que el PSUV dejase ser mayoría",0,0
670092430998429696,2015-11-26 23:10:59,"@jogre8a Dios mío! Destruyeron al país: inflación q nunca vivimos, más pobreza, inseguridad desatada, escasez , cero producción! Despierten!",0,0
669902691615797248,2015-11-26 10:37:02,"Demasiado imbécil querer votar por un gobierno que te tiene haciendo colas, te tiene en escasez , e inflación.. jalabolas. #LaManitoNiDeVaina",0,0
669166853265182720,2015-11-24 09:53:04,"Haces colas, hay escasez , hay delincuencia, te gobiernan narcos, hay inflación, y tu dices.. #YoDefiendoMiRevolucion y yo digo jalabolas :v",0,0
667029052771966977,2015-11-18 12:18:13,"Faltan 18 días para empezar el cambio ya basta d tantas colas, tanta escasez , el gobierno nos tiene en la miseria pic.twitter.com/Sl28toeq9m",0,1
666808936889196545,2015-11-17 21:43:33,"Venezuela con este gobierno esta en la miseria, la delincuencia desatada, escasez , inflación, nos gobiernan son narcos #SOSTerrorismoEnVzla",2,9
666418951006633984,2015-11-16 19:53:54,"Ellos son escasez , delincuencia, inflación, ladrones, en fin.. #PSUVNarcoTerroristas",0,2
664785002916397056,2015-11-12 07:41:10,Según Maduro 30 huevos cuestan BSF 420 y 1 Kg de carne 500.. así como en la Isla de la Fantasía las vacas vuelan. Lo q viene es más escasez !,0,0
658820238272663552,2015-10-26 21:39:19,Mientras #MaduroFirmaXLaPaz los venezolanos vivimos en guerra contra la escasez la inflación y la inseguridad! Este 6D Vota por el cambio,0,0
657509622232805377,2015-10-23 06:51:24,"@unaiamenabar este gobierno es un chiste, quieren controlar todo y no pueden, desempleo, mas escasez , y cierre técnico es lo que viene.",0,0
657300941260107777,2015-10-22 17:02:11,"#ChavismoEsVictoriaAbsoluta en lo que se refiere, delincuencia, escasez , inflación, expropiar, etc en eso tienen razón nadie les gana",0,1
656678462237880320,2015-10-20 23:48:40,@RunRunesWeb @runrunes Ay ay ay! Ahora si se subió la gata a la batea! Más corrupción y escasez !,0,0
642177306291740672,2015-09-10 23:26:15,"Y aun así hay gente que dice que estamos bien, que no hay escasez , inseguridad, dejen la ignorancia y habrán los ojos.",0,0
639971414204907520,2015-09-04 21:20:49,"@Notidiahora Al menos q deporten a todos los VENEZOLANOS Y EXTRANJEROS, el Pais sin habitante y se acaba la ESCASEZ , problema resuelto",0,0
637458189181657089,2015-08-28 22:54:10,No hayan como tapar nuestra realidad INSEGURIDAD escasez y las interminables colas que falta de valores tiene esta gente,1,0
633152931475398656,2015-08-17 01:46:36,"Escasez incrementa la depresión y la ansiedad entre venezolanos, me incluyo en ese grupo. http:// bitly.com/1IVljH0",0,0
627657711480623104,2015-08-01 21:50:34,Comenzo el colapso y la etapa final de esta pesadilla. Hay hambre en el pueblo y miles de personas mueren por la escasez de medicamentos.,0,0
620759974810136581,2015-07-13 21:01:25,UNT propone plan de emergencia al gobierno para enfrentar escasez de alimentos y medicinas http:// bitly.com/1Lczyv4 via @ElNacionalWeb,0,0
620382178522845184,2015-07-12 20:00:12,""" @lord_inario : También hay escasez de libros, y no veo a la gente haciendo compras de pánico.""Son sumamente caros y estamos quebrados ...",0,1
617761982305968128,2015-07-05 14:28:28,"En revolucion ellos con escolta y camionetotas y el pueblo sufre las penurias d la escasez , el difunto vive y el hambre sigue asi pues!!!",0,0
616562446090768384,2015-07-02 07:01:56,"@primerapagina otro pote de humo lo de las grabaciones, y estamos ya! En el segundo semestre y continuamos en caos de escasez y no se ve",0,0
616561849031610368,2015-07-02 06:59:34,"@primerapagina comenzamos el 2do semestre del año y no se ha resuelto la escasez y es que todo en este país se volvió un rebusque, trite",0,0
616093439663439876,2015-06-30 23:58:17,@unidadvenezuela : En 2013 comenzó el problema de escasez de productos en Venezuela. Hoy la situación es peor. (Video) http:// bit.ly/1JuJPUi,0,0
615248624310730752,2015-06-28 16:01:17,"@ROBERTOOSPINO1 Está bien si les gusta la inseguridad, la escasez y la inflación sigan con su revolución",0,0
