tid,date_created,text,favorite_count,retweet_count
773242515814100992,2016-09-06 15:32:36,¿Hasta cuándo? #Pauta #Press #Venezuela #Photojournalism #Fotoperiodismo #Colas #Escasez #Crisis … https://www. instagram.com/p/BKBr2OWB4YW/,0,0
770383682737676288,2016-08-29 18:12:37,#situacionpaisvzla #1septiembre #tomadeccs #nohaycomida #yabastadecolas #escasez @dobleafm @… https://www. instagram.com/p/BJtXzYJAXYz/,1,1
770382970108669952,2016-08-29 18:09:47,"http://www. noticiasaldiayalahora.co/luz-marquez-le -mando-carta-abierta-a-maduro-ya-no-podras-detener-lo-inevitable/ … SUFICIENTES RAZONES PARA SOLICITAR UN REVOCATORIO: INSEGURIDAD,CORRUPCIÓN, ESCASEZ , SIN PRODUCCIÓN,INFLACION",0,2
766467022083457024,2016-08-18 22:49:12,La industria de Turismo es una vergüenza! Empezando la destrucción cuando promovían a Cuba desde MINTUR. La inseguridad y la escasez FIN,0,0
762398932458758145,2016-08-07 17:24:04,"http:// diariodecaracas.com/politica/varga s-llosa-espera-que-gobierno-kuczynski-apoye-oposicion-en-venezuela … GRACIAS V.LLOSA POR DEFENDER A LOS VENEZOLANOS, Q SUFRIMOS ESCASEZ ,DELINCUENCIA Y LA INDOLENCIA DE ESTE RÉGIMEN",0,2
761114522589376512,2016-08-04 04:20:17,""" @Twittores : Así como vamos en el año 2050 habrá escasez de alimentos en el mundo #World http://www. grandesmedios.com/asi-ano-2050-h abra-escasez-alimentos-mundo/ … "". O sea, Vzla se adelantó",0,0
760732595294535680,2016-08-03 03:02:39,"Inaudito"" @NTN24ve : Venezolanos se las ingenian con nuevas recetas para tratar de vencer escasez de alimentos http:// bit.ly/2a9MibY """,0,0
759126314221699073,2016-07-29 16:39:51,"http://www. cesarmiguelrondon.com/opinión-2/el-e spacio-de-mis-amigos/ese-carajito-aqui-no-entra-leonardo-padrón/ … INSÓLITA REVOLUCIÓN: INSEGURIDAD, HAMBRE, MISERIA, ESCASEZ , REPRESIÓN, CORRUPCIÓN, INFLACIÓN, DICTADURA",1,6
750362447459016705,2016-07-05 12:15:23,"Escasez de comida, medicina, abundancia de inseguridad, economía por el piso, que bien lo hiciste! #A40MesesDeTuSiembraComandante",1,0
749785124695408641,2016-07-03 22:01:18,""" @josetorohardy : Según la Ministró de Salud la escasez de medicinas es de sólo el 15%. Entre ellas están todas las que yo he necesitado""",0,0
749647141199568896,2016-07-03 12:53:00,Un país quebrado donde abunda la escasez y el régimen practicando para el circo del martes 5 de julio. Aviones sobrevuelan Caracas.,2,13
747605119471063042,2016-06-27 21:38:44,"Por la escasez de comida, medicina y demás productos básicos #TodaVzlaALaCalle30Jun",0,0
746142658414936064,2016-06-23 20:47:27,Sí en España tuviesen presos políticos escasez de comida de medicinas e inseguridad Zapatero tendría la misma actitud de diálogo sumiso allá,0,0
745450734913740800,2016-06-21 22:57:59,"@CNNEE hay escasez de cerebro, neuronas y corazón en el gobierno de Venezuela @fdelrincon #concluOEA #conclucrisis",0,0
745449839719223296,2016-06-21 22:54:26,La escasez es tan fuente en Venezuela que los gobernantes carecen de cerebro de neuronas @fdelrincon #conclucrisis,0,1
745304584071983104,2016-06-21 13:17:14,"En Venezuela hay escasez de muchas cosas, menos de gente comprometida con el cambio. Hasta… https://www. instagram.com/p/BG7LJNWGlKY/",0,0
744911968956452864,2016-06-20 11:17:07,""" @primicias24 : Familiares de pacientes con fibrosis quística protestan por escasez de medicamentos - http://www. primicias24.com/salud/familiar es-de-pacientes-con-fibrosis-quistica-protestan-por-escasez-de-medicamentos/ … ""Urge!",0,0
743444410269057025,2016-06-16 10:05:34,Protesta por escasez de comida tranca la Troncal 5 en Táchira #16J -? https:// bit.ly/1YuxIME,0,0
740301536387948546,2016-06-07 17:56:55,@PrensaPuntoFijo La escasez de medicina se justifica por> de su consumo$,0,0
739853656435097600,2016-06-06 12:17:12,""" @RunRunesWeb : Aristóbulo Istúriz: La escasez , el hambre y las colas son políticas. Mi estomago tiene bastante politica, hp",0,0
738509547329998848,2016-06-02 19:16:11,@arduinoCNN para combatir la guerra economica Maduro deberia aceptar ayuda humanitaria. No la acepta porque con la escasez somete al pueblo,0,0
738508140317184000,2016-06-02 19:10:36,"Si fuera cierto que la escasez es por guerra economica, aceptar la.ayuda humanitaria daria las herramientas al.regimen para defendernos",0,0
738283310661701632,2016-06-02 04:17:12,""" @ElNacionalWeb : Escasez de fórmulas lácteas ronda 90% en farmacias http:// bit.ly/1Xi2idF -""lo sufro:(...y los hijos de quienes gobiernan?",0,0
737834674123362304,2016-05-31 22:34:29,"@LizardoGramcko : pic.twitter.com/Xxmfd3Q2tB CADA DÍA QUE PASA,EN VENEZUELA HAY MAS ESCASEZ , INSEGURIDAD,CORRUPCIÓN,INFLACIÓN, POBREZA Y RUINA",0,1
