tid,date_created,text,favorite_count,retweet_count
781640548142551040,2016-09-29 19:43:23,Hambre es lo único seguro que tengo,20,9
781635903164977152,2016-09-29 19:24:56,""" @ReporteYa : #29S Pollos CLAP en Puerto Ordaz. Se burlan del hambre del pueblo. Pesan 750-800 gr c/u pic.twitter.com/Qpa8SHot0Q - @RodrigoQuez """,4,19
781628058809884672,2016-09-29 18:53:45,Yo también. No hay otra forma de acabar con el hambre y la práctica de comer directamente de la basura. https:// twitter.com/Fuego18/status /781615558416408576 …,17,42
781519416978792448,2016-09-29 11:42:03,QUE LO SEPA EL MUNDO. VENEZOLANAS MURIENDOSE DE HAMBRE Y SOLO PIDEN LECHE. pic.twitter.com/HI0Wh1Bf6R,11,8
781506303239786496,2016-09-29 10:49:57,"Solo observar economía moribunda, hambre y miseria en Vzla, bloqueo de participación en recolección de 20% firmas, define al Gobierno Maduro",19,78
781500745581465600,2016-09-29 10:27:51,Juegan con el hambre y el bolsillo de nuestros servidores públicos. Solo a @ElHatillo le deben más de 500 millones de bolívares pic.twitter.com/ZKptKyU2Ys,21,62
781499888488050688,2016-09-29 10:24:27,Venezuela muere de hambre porque una cúpula se robó lo que era para la comida y destruyó producción nacional. Den la cara! #vzlaempobrecida,55,143
781434269776437248,2016-09-29 06:03:42,"Se dedica mucho dinero a propaganda internacional. A la revolución le da igual el hambre , y las comisiones en dólares dejan más.",30,95
781348191497322496,2016-09-29 00:21:40,"Mi TL es: cuca, nude, picada, pajua, pescado, tetas, maldito Maduro y quedé con hambre . El venezolano es un ser de curiosas costumbres.",9,11
781304185572687873,2016-09-28 21:26:48,"David Viana: Oprimido por la miseria y el hambre , el pueblo de Guarenas está resteado con el Revocatorio. pic.twitter.com/u8q1TWgMpq",10,25
781263575365083136,2016-09-28 18:45:26,El gobierno juega con el hambre y bolsillo de nuestros trabajadores al no transferir lo que nos corresponde por aumentos salariales,16,112
781252002189717504,2016-09-28 17:59:26,"Venezuela No son mendigos, son venezolanos que buscan entre la basura comida porque tienen hambre ! pic.twitter.com/y1nmDLTCjG",64,416
781242695402618880,2016-09-28 17:22:28,Mendoza es rico.de cuna y no le importa nuestro pais. Usa tu hambre como arma para tumbar un gobierno #VenezuelaHatesMaduro pic.twitter.com/QUQmVwCK5i,4,25
781232458805239808,2016-09-28 16:41:47,Vielma Mora comprará los estrenos en Panamá. Antes muertos (de hambre ) que sencillos. Aquí: http:// konzapata.com/2016/09/maduro -les-llena-los-bolsillos-a-los-gobernadores-y-estos-entran-en-la-feria-del-shopping/ …,5,20
781208891996704768,2016-09-28 15:08:08,Consecomercio: El Gobierno no puede ocultar el hambre y la pobreza http:// bit.ly/2dkXtzn pic.twitter.com/dskDrXYma9,1,11
781188996185677825,2016-09-28 13:49:05,Gobierno #CastroComunista busca controlar a personas con comida El resultado es #hambre para todos By @FMPinilla pic.twitter.com/6aeTxMrB7J,11,69
781115819652677633,2016-09-28 08:58:18,El guiso del Arco Minero y el hambre que pasa el pueblo... en #VisorPais https:// youtu.be/KjkeOtxhkKE,16,46
