tid,date_created,text,favorite_count,retweet_count
775988235747135488,2016-09-14 05:23:07,"@unaiamenabar La Revolución Francesa y la Revolución Bolchevique tuvieron un detonante común: el hambre ...tic tac, tic tac.",1,9
775757877529174016,2016-09-13 14:07:45,Qns sabemos lo q es ser pobre y pasar hambre no podemos respaldar esta dictadura hambradora. ¡Revocatorio ya!,2,10
748673529219002368,2016-06-30 20:24:13,"Tucupita encendida. Mas de 100 detenidos por protesta. Tenemos hambre , gritaba la gente.",0,6
746532010546597888,2016-06-24 22:34:35,"El pueblo esta pasando hambre por culpa de unos corruptos que no quieren salir del poder, basta… https://www. instagram.com/p/BHD5L7mg_y6/",2,9
743066851727560704,2016-06-15 09:05:17,Los q saquearon la óptica tenían hambre de lectura...,4,11
742911250909302784,2016-06-14 22:46:59,"Cumaná El saqueo verdadero se lo dieron a Venezuela. El PSUV saqueó a PDVSA el BCV y la moral de la FAN, eso si es saqueo lo demás es hambre",1,6
741121202341707776,2016-06-10 00:13:58,"¿Se entiende ahora el comportamiento de nuestras FAN cuando los saqueos del Caracazo? ¡Y no había dictadura, satrapía, hambre ni colas!",3,13
695026058098294784,2016-02-03 18:28:19,"Hay mucha hambre y sed, el pueblo muriendo de mengua ...La olla de presión a punto de estallar... @tostonsito1 @Copimil @copipega @querre1",0,9
669338932929273857,2015-11-24 21:16:51,"Vota por el cambio, ah no ser que quieras seguir en estas.. haciendo colas para pasar hambre #ChavistaVotaXlaManito pic.twitter.com/bP0P2Z6rAv",19,59
653642010528583680,2015-10-12 14:42:54,#DocentesContratoOParoYa . #DocentesContratoOParoYa . #DocentesContratoOParoYa . Docentes con HAMBRE NO PUEDEN ED,1,34
632153066091991041,2015-08-14 07:33:30,Por que siempre tienes hambre y sueño? pic.twitter.com/Je2SMllnD2,4,18
627240554301128704,2015-07-31 18:12:56,"@germainnavas @copipega No se equivoca, saqueos son provocados: Por el hambre , el desespero y Cansancio de estar todos los días en una cola",2,10
624403960871391232,2015-07-23 22:21:19,"¡Qn lo diría! ¡Los muertos de hambre exigiendo visa! Gracias Obama, gracias Francisco, gracias muñeco podrido...",6,25
588062587738259456,2015-04-14 15:33:41,"Venezuela está entre los países que ha disminuido el hambre con mayor éxito en el mundo http:// ow.ly/LBzId pic.twitter.com/OWpN0j3dMu """,1,12
576345953063559168,2015-03-13 07:35:57,"Si hay q pasar hambre , la pasamos mi capitán... pic.twitter.com/2pNpaFI81W",3,25
575032279954751488,2015-03-09 16:35:53,"Diosdado: ""si tenemos que pasar hambre , pasaremos hambre "".JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJQJAJAJAJA",17,113
565268512802078720,2015-02-10 16:58:10,""" @actual360 : Lorent Saleh y Carlos Aponte continúan en huelga de hambre Via http:// actualidad360.com/?n=18374 "" EXCELENTE ESO NO TE SALVA TERRORISTA",0,6
564164790688690176,2015-02-07 15:52:22,Nuestros hermanos detenidos @LORENT_SALEH @Gabriel_Valles y @GerardoCarrero7 se declaran en HUELGA DE HAMBRE desde el Sebin Plaza Venezuela,0,9
562224467297202178,2015-02-02 07:22:13,Misión sembrar el caos. Crear descontento para tener el pretexto de la expropiación. Operación Dakazo Fase 2. A paso de muertos de hambre ...,6,67
560906592678604800,2015-01-29 16:05:27,""" @desagabriel1383 : Saquean Gandola de lácteos que volcó en pendiente de Tazon. pic.twitter.com/5V9fQTaiUE ""El hambre los convierte en ladrones",1,6
559437345116930048,2015-01-25 14:47:11,"Esto es el socialismo, presidente: presos políticos, hambre y peleas x un pollo. Cuéntelo en Chile... pic.twitter.com/XkHGngkGmE",7,125
558646124685578240,2015-01-23 10:23:09,Y un día el hambre vino y los sapos seguían gordos...,3,18
556666579522715649,2015-01-17 23:17:09,A UNOS LES OBLIGAN A IR Y A OTROS A PASAR HAMBRE ! @GuaroTerepaima : pic.twitter.com/l54Pq0gKyP .. @LucioQuincioC @antenax2 @copipega @globovision,2,32
551760236777070592,2015-01-04 10:21:06,“ @wwwmolina : RT @twittar27 : Muertos de hambre pero con buen aliento carajo pic.twitter.com/9MsO0GALDM ” Demanda x alitosis causada x coprofagia,1,8
549106308482613248,2014-12-28 02:35:20,Que ilegal tener hambre a esta hora,0,9
543917595469287424,2014-12-13 18:57:14,"Miento: ""pueblo con hambre no defiende la democracia.""",1,10
543190539408252928,2014-12-11 18:48:11,"FAO reconoce avancesVenezuela reducción del hambre mejoras en el salario mínimo http:// ow.ly/FJ5UH pic.twitter.com/u9t2ZKTGON ""PELUCON #TROPA",2,9
