tid,date_created,text,favorite_count,retweet_count
779907365147701248,2016-09-25 00:56:20,Odio cuando me da hambre a esta hora,2,1
778754414060277760,2016-09-21 20:34:55,"Como cuando le metes presión a tu vieja porque tienes mucha hambre , y ella solo te ignora.… https://www. instagram.com/p/BKo2XkUhQ-F/",0,0
775988235747135488,2016-09-14 05:23:07,"@unaiamenabar La Revolución Francesa y la Revolución Bolchevique tuvieron un detonante común: el hambre ...tic tac, tic tac.",1,9
775758644751241216,2016-09-13 14:10:48,"Quiero terminar mrc, tengo burda de hambre .",1,0
775757877529174016,2016-09-13 14:07:45,Qns sabemos lo q es ser pobre y pasar hambre no podemos respaldar esta dictadura hambradora. ¡Revocatorio ya!,2,10
775165719415812097,2016-09-11 22:54:44,"@lacunasucre Ni a ti, ni a Maduro, tienen a Sucre pasando hambre y bebiendo agua sucia. No los queremos!",0,0
773373117926404096,2016-09-07 00:11:34,Sigo teniendo hambre .,0,0
771343409923645442,2016-09-01 09:46:14,@ElNacionalWeb parece mentira ver esa cantidad de enormes pancartas financiadas por el gob y tanta gente que los sigue están pasando hambre,0,0
770082316895092737,2016-08-28 22:15:06,Que buenos es comer con Hambre #felizNoche #Parrilla,0,0
770061986168176640,2016-08-28 20:54:19,""" @jesus97marin : #emparrillado con @LuiisVeliz "" Ya Hay Hambre jajajaja #FelizDomingo",0,1
770061843033448448,2016-08-28 20:53:45,Ya tengo hambre y ahora es que estamos haciendo la parilla jajaja,0,0
769633927053119489,2016-08-27 16:33:21,#LasCallesSonDelChavismo con razón hay tanta delincuencia y los militares ni se diga. Hambre y pobreza es lo q se ve.,0,0
765245715656347648,2016-08-15 13:56:10,@ElBilluyo Jaua tú le puedes decir a tus hijos q resisten el hambre mientras ustedes comen bien.síndico,0,0
762471223301320705,2016-08-07 22:11:20,Tengo hambre,0,0
761033982116978688,2016-08-03 23:00:15,Tengo un hambre brutaaaaal.,0,0
760579082170105856,2016-08-02 16:52:38,"El CNE tiene 10 días para fijar la fecha...EL REVOCATORIOVA...Ya esto no se aguanta, maduro es hambre ... pic.twitter.com/pVfntrrg0Y",0,0
760310104428257280,2016-08-01 23:03:49,Tengo un hambre brutal y tengo ladilla de levantarme.,0,0
758826762293747714,2016-07-28 20:49:33,"@alexandermirele@Mardelg, el gabinete habla de pueblo, nos estan matan de hambre , ellos parecen un rebaño de bufalos, exageradamente gordos!",0,0
757761374181289985,2016-07-25 22:16:04,@globovision . Claro un pueblo despierto y desiando q el gobierno hable d soluciones. Y no hable tanto discurso el pueblo tiene es hambre,0,0
757755567599411205,2016-07-25 21:53:00,@DiarioContraste Cuando sera el dia?.q se Cumpla la prediccion q queremos todos los Venezolanos. cada dia sto sta peor miseria y hambre,0,0
756247494078636033,2016-07-21 18:00:27,Hungry? Con hambre de @powyv pizza time! #tanks #5panels #fivepanels #gorras #camisetas … https://www. instagram.com/p/BII7aIOjvKJ/,1,1
756182642123501568,2016-07-21 13:42:45,Tareck Aissami anuncia y aprovecha de dar la noticias por cadena el aumento de los docentes de aragua y deudas atrazadas sueldo de hambre .,0,0
756179972541284353,2016-07-21 13:32:09,Maduro dile Tarek Aissami gobernador de Aragua que cumpla con las deudas atrazadas con los maestros de aragua que tenemos sueldo de hambre,0,0
755988047662022661,2016-07-21 00:49:30,@Zuliano73 si ese pueblo q lo puso ahi . Q lo mara dr hambre de todo esa lacras parasito,0,0
755131329768022016,2016-07-18 16:05:13,@Crytek180 si como te toco si chislla pero los nino q muere de hambre por. Culpa de tu hijo vergueza deberia. Dartr,0,0
755129177351786496,2016-07-18 15:56:40,@NoticiasVenezue Haz una rueda de prensa Tarek Aissami para homologar a los maestros y cancelar deudas atrazadas sueldo de hambre . SOS,0,0
754317518412611584,2016-07-16 10:11:25,@CaraotaDigital tienen al pueblo pasando hambre . Qclaps q vuelva todo a los anaqueles es lo q desea el pueblo.,0,0
753379806453043200,2016-07-13 20:05:17,"Maduro al resto del país: Pasen hambre . Vean cómo hacen sin medicamentos. No me interesa lo que digan, así se quedan.",0,0
752911303157616642,2016-07-12 13:03:37,Comí y sigo con hambre,0,0
