tid,date_created,text,favorite_count,retweet_count
775988235747135488,2016-09-14 05:23:07,"@unaiamenabar La Revolución Francesa y la Revolución Bolchevique tuvieron un detonante común: el hambre ...tic tac, tic tac.",1,9
775757877529174016,2016-09-13 14:07:45,Qns sabemos lo q es ser pobre y pasar hambre no podemos respaldar esta dictadura hambradora. ¡Revocatorio ya!,2,10
759126314221699073,2016-07-29 16:39:51,"http://www. cesarmiguelrondon.com/opinión-2/el-e spacio-de-mis-amigos/ese-carajito-aqui-no-entra-leonardo-padrón/ … INSÓLITA REVOLUCIÓN: INSEGURIDAD, HAMBRE , MISERIA, ESCASEZ, REPRESIÓN, CORRUPCIÓN, INFLACIÓN, DICTADURA",1,6
743066851727560704,2016-06-15 09:05:17,Los q saquearon la óptica tenían hambre de lectura...,4,11
742911250909302784,2016-06-14 22:46:59,"Cumaná El saqueo verdadero se lo dieron a Venezuela. El PSUV saqueó a PDVSA el BCV y la moral de la FAN, eso si es saqueo lo demás es hambre",1,6
742485974953951232,2016-06-13 18:37:05,"Dios provee de alimentos a Venezuela . @la_patilla . @trafficLARA niños con hambre ""NO"" #CrisisEducativaVenezuela pic.twitter.com/sL5nvWheQH """,2,8
741121202341707776,2016-06-10 00:13:58,"¿Se entiende ahora el comportamiento de nuestras FAN cuando los saqueos del Caracazo? ¡Y no había dictadura, satrapía, hambre ni colas!",3,13
739874728509313024,2016-06-06 13:40:56,Militares sus familiares no hacen cola y pasan hambre ? Hasta cuando se dejan someter por los cubanos? Ayuden a recuperar a Venezuela.,2,6
733430068261883904,2016-05-19 18:52:09,Los estudiantes de JAVU y otros llevan mas de 300 horas en huelga de hambre enfrente de la @OEA_oficial caracas Apoyalos @Alejatos21,1,7
731607566170636288,2016-05-14 18:10:11,"http:// video-lga3-1.xx.fbcdn.net/v/t42.1790-2/1 3219508_220656958320203_1432193115_n.mp4?efg=eyJybHIiOjMwMCwicmxhIjo1MTIsInZlbmNvZGVfdGFnIjoic3ZlX3NkIn0%3D&oh=bf2e8e243b063105c4acfe22aab1a164&oe=5738C2C8 … EN VENEZUELA HAY ESCASEZ, CORRUPCIÓN, INSEGURIDAD, INFLACIÓN, DEVALUACIONES, HOSPITALES SIN INSUMO, HAMBRE",3,9
722536720089116672,2016-04-19 17:25:52,@Murachi94 : Ser solidario no es hacer pasar hambre a tu gente y dejarlos morir por falta de medicinas. https:// twitter.com/GenPenaloza/st atus/722414562423611392 …,5,19
717177090265772032,2016-04-04 22:28:37,"La UCV antes de vestía de Moza, ahora se viste de HAMBRE #UCVAhoraEsNuestroTiempo",4,10
706183559057448961,2016-03-05 13:24:15,"@Esteban_reload :Delcy Rodríguez: Comandante Chávez,estamos aquí cumpliendo tu legado.LEGADO: INSEGURIDAD, HAMBRE ,MISERIA, CORRUPCIÓN,ESCASEZ",1,7
695026058098294784,2016-02-03 18:28:19,"Hay mucha hambre y sed, el pueblo muriendo de mengua ...La olla de presión a punto de estallar... @tostonsito1 @Copimil @copipega @querre1",0,9
694511458483343360,2016-02-02 08:23:29,"Cada dia mas cola en Venezuela, El pueblo tiene hambre #VzlaSinComida #cresishumanitaria @Las… https://www. instagram.com/p/BBSRGe_yMz5/",3,13
670209816925741056,2015-11-27 06:57:26,La historia no podrán ocultarla el 27-NOV. representa la repuesta de los sectores populares ante un país que padecía de hambre represión,8,20
669338932929273857,2015-11-24 21:16:51,"Vota por el cambio, ah no ser que quieras seguir en estas.. haciendo colas para pasar hambre #ChavistaVotaXlaManito pic.twitter.com/bP0P2Z6rAv",19,59
653642010528583680,2015-10-12 14:42:54,#DocentesContratoOParoYa . #DocentesContratoOParoYa . #DocentesContratoOParoYa . Docentes con HAMBRE NO PUEDEN ED,1,34
648526773525872640,2015-09-28 11:56:46,"Cumbres van cumbres vienen, siguen las invasiones sigue el hambre sigue la discriminación se violan los acuerdos... pic.twitter.com/GuXQ2zceeX",1,17
647825215679000576,2015-09-26 13:29:02,El hambre No estalla como las bombas Ni suena como los tiros El hambre mata callando Mata a los callados pic.twitter.com/mpXMcLTZEm,4,11
640646475832250368,2015-09-06 18:03:17,"No son refugiados, pero mueren de hambre 3,1 millones de niños cada año. NO LOS OLVIDEMOS. pic.twitter.com/cF06eJGYu2 pic.twitter.com/HMR3mboXBT",4,10
639937878634704900,2015-09-04 19:07:34,No pueden sobrevolar las vallas ni las fronteras contra su hambre . Pero les sobra dignidad. #RedesLaEsperanza pic.twitter.com/VrVghg8LEt,5,10
632153066091991041,2015-08-14 07:33:30,Por que siempre tienes hambre y sueño? pic.twitter.com/Je2SMllnD2,4,18
627240554301128704,2015-07-31 18:12:56,"@germainnavas @copipega No se equivoca, saqueos son provocados: Por el hambre , el desespero y Cansancio de estar todos los días en una cola",2,10
626900016263770112,2015-07-30 19:39:45,@ReneSuareez @JULIOCESARRIVAS en calle el hambre de la trinidad el pepito de pollo vale 660 ... patria,0,8
624403960871391232,2015-07-23 22:21:19,"¡Qn lo diría! ¡Los muertos de hambre exigiendo visa! Gracias Obama, gracias Francisco, gracias muñeco podrido...",6,25
623197586091020288,2015-07-20 14:27:37,"@valendeviaje estará enterado @NicolasMaduro y todos ellos que dicen que vivimos en la isla de la fantasía y que tenemos patria "" Hambre "".",1,8
608601279900823553,2015-06-10 07:47:07,Hoy mas de 60 venezolanos en Huelga de Hambre luchando por tus derechos ¿Que haces tu hoy por tus derechos? #HambreXLibertad,1,13
