tid,date_created,text,favorite_count,retweet_count
779836243022647296,2016-09-24 20:13:43,@NTN24ve sí para ellos todo es una burla que estemos pasando hambre,0,0
779283874400628737,2016-09-23 07:38:48,"No se que tengo, tal vez sea hambre .",0,0
778921342808633344,2016-09-22 07:38:14,Un #TBT con pelo hambre y ropa jaja #FelizJueves #BuenosDias #Me #Relax #MyHouse … https://www. instagram.com/p/BKqCR4XhMRK/,2,0
778836448028004353,2016-09-22 02:00:53,"Dios no se ha olvidado de ti,solo esta en silencio,busca su presencia te da esa sed y hambre de él,para la gran bendición que viene para ti.",0,0
778122399829069824,2016-09-20 02:43:31,A está hora pega un hambre brutaal,0,0
777295092486995968,2016-09-17 19:56:06,Siempre me dejaban sin rial y pasaba hambre cómo un webón.,0,0
776608101776650240,2016-09-15 22:26:14,"Nicolás con el MNOAL trata de lavar su imagen con millones de dólares,mientras el pueblo muere de HAMBRE y por falta de medicamentos.",0,0
776607355173801984,2016-09-15 22:23:16,Cumbre Mnoal tendrá conciertos multimillonarios con artistas que cobran en dólares mientras hay HAMBRE y mueren por falta de medicamentos.,0,0
776438141578256384,2016-09-15 11:10:53,Mejor me muero de hambre .,0,0
776255505337647104,2016-09-14 23:05:09,@hsibonnet1 @soyfdelrincon @ChuoTorrealba No vamos a permitir que nos manipulen #fdelrincon no tiene hambre por eso arma ese lío,0,0
776246109836541953,2016-09-14 22:27:49,"Tomemos las calles en Paz, este viernes a las 9AM, para repudiar el hambre y exigir al CNE Revocatorio 2016 #16SLaCumbreDelPueblo """,0,0
776244179416543232,2016-09-14 22:20:08,@francescamalave @soyfdelrincon Con secretos o sin ellos este pueblo tiene HAMBRE por culpa del gobierno eso es que nos importa Revocatorio,1,0
776133079651852288,2016-09-14 14:58:40,"Cuando hay hambre , hay hambre !!! #MisTwinkies #MathíasEnrique … https://www. instagram.com/p/BKWOUr4BqpTq 6p0-bP9jqZZX2LGn1oXX-ghNzw0/ …",0,0
775988235747135488,2016-09-14 05:23:07,"@unaiamenabar La Revolución Francesa y la Revolución Bolchevique tuvieron un detonante común: el hambre ...tic tac, tic tac.",1,9
775758644751241216,2016-09-13 14:10:48,"Quiero terminar mrc, tengo burda de hambre .",1,0
775757877529174016,2016-09-13 14:07:45,Qns sabemos lo q es ser pobre y pasar hambre no podemos respaldar esta dictadura hambradora. ¡Revocatorio ya!,2,10
775462673542676480,2016-09-12 18:34:43,@rept53 POBRECITA PASANDO EL HAMBRE PAREJA PORQUE ANDA EN LA BÚSQUEDA D SU PROPIO DICTADOR QUE SOLO LE BENEFICIE A ELL Y LA CORRUPTA MUD !!,1,0
775034075191119872,2016-09-11 14:11:37,Los muertos de hambre son los que vienen a la cumbre ! Comen y llevan. Lambusios,0,0
774315877026111488,2016-09-09 14:37:45,"Hambre , desidia, nepotismo, dictadura, corrupcion, perversidad, maldad ect, ect ""SIGO"" #HambreEnVzla",0,0
773912706491543553,2016-09-08 11:55:42,Tengo hambre !,0,0
773862115023216640,2016-09-08 08:34:40,@Claudiabousquet Se agotó el tiempo de las componendas. El hambre y las enfermedades no negocian. Villa Rosa es inevitable.,0,2
773509005461360640,2016-09-07 09:11:32,Regresamos al 6D con + PRESOS + HAMBRE + DECEPCION + INSEGURIDAD + INCERTIDUMBRE,0,0
772101095783104512,2016-09-03 11:57:00,Donde está el BOBOLOCO de Villa Rosa ? Estará desmontando el golpe de hambre de la gente ?Será que durmió en margarita? Porque lo vi corrien,0,0
770332579086102530,2016-08-29 14:49:33,Sopita de pollo para el alma #food #sopa #almuerzo #hambre #comidas #dandolapela #verduras … https://www. instagram.com/p/BJtAkFDgBQr/,0,1
770218001425661952,2016-08-29 07:14:16,""" @DiarioTalCual : GENOCIDIO BUROCRÁTICO. La sarna y el hambre matan a un niño en el Zulia http:// ow.ly/V3a8303EoUn pic.twitter.com/sxh52RpbAu """,0,0
770082316895092737,2016-08-28 22:15:06,Que buenos es comer con Hambre #felizNoche #Parrilla,0,0
770061986168176640,2016-08-28 20:54:19,""" @jesus97marin : #emparrillado con @LuiisVeliz "" Ya Hay Hambre jajajaja #FelizDomingo",0,1
770061843033448448,2016-08-28 20:53:45,Ya tengo hambre y ahora es que estamos haciendo la parilla jajaja,0,0
770049665475702784,2016-08-28 20:05:21,""" @El_Cooperante : “Estoy muriendo de hambre , tengo dos días sin comer”, dice entre lágrimas hombre marabini. la indiferencia lo.matara",0,0
769633927053119489,2016-08-27 16:33:21,#LasCallesSonDelChavismo con razón hay tanta delincuencia y los militares ni se diga. Hambre y pobreza es lo q se ve.,0,0
766402061495861248,2016-08-18 18:31:05,#TardesDeAgosto #Relajado #Frio #Hambre #Sueño #Musica #Cafe #FaltoLaTorta @ronald_pinto #CDSM … https://www. instagram.com/p/BJRFK5ojQk4/,0,0
766263327660072960,2016-08-18 09:19:48,"""@DolarTodayINDIGNANTE! Colombianos se burlan de Yulimar y del hambre en Venezuela (Foto) http:// bit.ly/2bKVEfI pic.twitter.com/y7ssIN3xcQ """,0,0
765861846024916992,2016-08-17 06:44:27,"hoy miercoles sin leche,huevos,pan,harina, sin derecho al desayuno;Maduro en su obecidad,sabra q Vzla pasa hambre ....prohido olvidar....",0,0
765706532336066565,2016-08-16 20:27:18,Aumento salarial y aumento del cesta ticket ni siquiera es 1/4 de la canasta básica. Éste Gobierno es hambre,0,0
765355644165689344,2016-08-15 21:12:59,"@DolarToday prohibido olvidar...malditos y por soberbia, nos matan de hambre y limitaciones...hay q ponerles precio a sus cabezas ...tic/tac",0,1
763705143271489537,2016-08-11 07:54:29,@primerapagina ellos andan en la agenda de quebrar al país y matarnos de hambre .,0,0
763067517300514816,2016-08-09 13:40:47,"La bruja de tiby dando clases, como maestra se muere de hambre salon vacio.",0,0
763066295361400833,2016-08-09 13:35:56,Que ladilla como exponente te mueres de hambre no se entiende nada,0,0
762852934090498048,2016-08-08 23:28:07,"Venezolanos en los Juegos Olímpicos. LA PRIORIDAD NO ES LA PARTICIPACIÓN DE LA DELEGACIÓN EN LOS JUEGOS OLÍMPICOS, EN VENEZUELA HAY HAMBRE",0,0
762763329542782976,2016-08-08 17:32:03,"Amén"" @unidadvenezuela :"" Hambre pareja""es lo que le ha dado este régimen al pueblo,quien a ""voto parejo""lo revocará pic.twitter.com/nrwQ3sRgDU """,0,1
761763395695697920,2016-08-05 23:18:41,"http://www. lapatilla.com/site/2016/08/0 5/venezuela-verdadero-o-falso-por-laureano-marquez/ … VERDADERO O FALSO? INSEGURIDAD, ESCASEZ,INFLACIÓN,EXPROPIACIONES, HAMBRE ,MISERIA,DICTADURA, REPRESIÓN,COLECTIVOS",1,0
761235336034938880,2016-08-04 12:20:21,@hcapriles 2. Ellos No son los dueños dl Paìs y hablan en nombre d todos nunca Vot x ninguno dfienda a Ntra Hermosa Vzla Ya Basta hay hambre,0,0
760997227829534720,2016-08-03 20:34:12,Maduro el pueblo tiene hambre necesitamos medicinas jabón para lavar la ropa,0,0
760989368647639040,2016-08-03 20:02:58,Patria con hambre que bolas tienen ustedes referendo ya,0,0
760985726741803008,2016-08-03 19:48:30,@irisvarela raspados están ustedes con el hambre del pueblo vamos a una elecciones,0,0
760983037328953344,2016-08-03 19:37:49,Tengo hambre y pereza de cocinar.,0,0
760820525975408640,2016-08-03 08:52:03,"Gustavo Martínez: ""Las cúpulas no resolverán la crisis, convocamos Concentración contra el hambre y por la salud"" http://www. aporrea.org/actualidad/n29 4796.html …",0,0
760579082170105856,2016-08-02 16:52:38,"El CNE tiene 10 días para fijar la fecha...EL REVOCATORIOVA...Ya esto no se aguanta, maduro es hambre ... pic.twitter.com/pVfntrrg0Y",0,0
760507462000795648,2016-08-02 12:08:03,Y para completar tengo hambre .,0,1
760435055181307904,2016-08-02 07:20:20,@trafficMIRANDA a esta hora 7:18am ful cola en pradosdeleste de bachaqueros el pueblo tiene hambre,0,0
759126314221699073,2016-07-29 16:39:51,"http://www. cesarmiguelrondon.com/opinión-2/el-e spacio-de-mis-amigos/ese-carajito-aqui-no-entra-leonardo-padrón/ … INSÓLITA REVOLUCIÓN: INSEGURIDAD, HAMBRE , MISERIA, ESCASEZ, REPRESIÓN, CORRUPCIÓN, INFLACIÓN, DICTADURA",1,6
759089330161852417,2016-07-29 14:12:54,"GENIO EN= NARCOTRAFICO,MISERIA,DIVISION, HAMBRE ,MENTIRAS, DESTRUCCIÓN!!! Y MEJOR LO DEJO HASTA AQUI XQ SINO AMANECE!!! #ChavezGenioDeAmerica",0,0
756247494078636033,2016-07-21 18:00:27,Hungry? Con hambre de @powyv pizza time! #tanks #5panels #fivepanels #gorras #camisetas … https://www. instagram.com/p/BII7aIOjvKJ/,1,1
