text,Municipality ,Feature Label
2) doble homicidio ocurrido en Parque Caiza (2010) se encontraba comprando alimentos cuando polic°a dio con el. Tiene carta rojo en Interpol,Baruta,1
"Poliguaicaipuro en los establecimientos donde se distribuyen alimentos , para evitar alteraciones al orden p£blico. pic.twitter.com/lsaZknxy93",Baruta,1
El que le tenga miedo a otra lista TAZCON recuerda que es peor estar en la lista de la morgue por inseguridad por falta de alimentos etc...,Baruta,1
#cicpccaricuao aprehendi¢ al ciudadano en menci¢n por el hurto de alimentos @DouglasRicoVzla pic.twitter.com/DralkFvqxU,Baruta,1
"alimentos al pueblo! Hoy #S†badoDeMercadosComunales @EslandesOficial lleg¢ a UD2 de Caricuao pic.twitter.com/C138evcJ40 "" @NoticiasCaracol",Baruta,1
#FANB Desmatela 5 Caletas de Alimentos y Combustible en el Edo Zulia.Duro Golpe al Contrabando #CEOFANBGarantiaDePaz pic.twitter.com/cPuP3l9KDw,Baruta,1
127 mil litros combustible 383 toneladas alimentos Zulia http:// ow.ly/TIPH3 pic.twitter.com/CLHmQstgAA MANO DE HIERRO EN FRONTERA #TROPA,Baruta,1
""" @GNBoficial : GNB desmantel¢ banda de bachaqueros de alimentos ?la familia? en el estado zulia pic.twitter.com/f4Wok5alCz "" #TROPA @jaimesolga31",Baruta,1
"@JuanManSantos defiendalos, dele alimentos , salud, educaci¢n viviendas, pero no pretenda Vzla se los va dar. pic.twitter.com/fpvGyCJxiP "" #TROPA",Baruta,1
"ZODI Zulia contin£a luchando contra el contrabando y el bachaqueo: 35 Tn de alimentos . #EnfrentemosElBachaqueo pic.twitter.com/Xk98FgRfOL "" #TROPA",Baruta,1
Hoy llevando alimentos a precio justo desde La Vega Los Paraparos MaduroEsSolidaridad #JornadasACieloAbierto pic.twitter.com/IAPjdLQoXa,Baruta,1
@unaiamenabar Menos producci¢n-menos alimentos m†s escaces- m†s pobreza grave situaci¢n vivimos los Venezolanos!,Baruta,1
"Orden de Obama contra Venezuela proh°be donaciones de alimentos , ropa y medicinas http:// la-tabla.blogspot.com/2015/03/orden- de-obama-contra-venezuela-prohibe.html#.VRbQ_gEd0Nk.twitter ? @latablablog pic.twitter.com/Yleznyyxsm",Baruta,1
"Ministro de Lamentacion, alimentaci¢n, afirm¢ que reserva de alimentos es para 2.5 meses. Interesante informaci¢n, no tiene reserva.",Baruta,1
®No entiendes por quÇ no consigues comida? El gobierno expropi¢ 256 empresas de alimentos pic.twitter.com/0iZzxc6zwR,Baruta,1
"MEGA JORNADA Nacional Integral de Alimentos para Pueblo #AbastecimientoSeguro pic.twitter.com/qe7ubtJDhm "" @jorgeroig #TROPA CARCEL A FEDECAMARA",Baruta,1
"MARCHEMOS CONTRA FEDECAMARAS Y LA POLAR , BOICOT NO CONSUMIR ALIMENTOS POLAR . GUERRA ES GUERRA #TROPA @jaimesolga31 #GiraExitosa",Baruta,1
""" @ViceVenezuela : Gobierno incauta 370 mil kilos de art°culos de limpieza, aseo personal y alimentos - http://www. elmundo.com.ve/Noticias/Econo mia/Empresas/Gobierno-incauta-370-mil-kilos-de-articulos-de-lim.aspx ? "" #TROPA",Baruta,1
