tid,date_created,text,favorite_count,retweet_count
777876974496874496,2016-09-19 10:28:17,Inspectores socialistas del edo Zulia se benefician con jornada de alimentos a precios justos pic.twitter.com/hZn5XooaJ2,1,8
763504175330320389,2016-08-10 18:35:55,"CARAMBA!!!@GenPenaloza: JULIO MONTOYA a 6 empresas ficticias de alimentos con la misma direccion les asignaron $615 millones preferenciales""",3,26
754746889044721664,2016-07-17 14:37:35,"Ahí está, venezolanos cruzando la frontera para comprar alimentos y medicinas. Puente Simón Bolivar. No hay crisis ! pic.twitter.com/Uhyi4UA9Up",2,14
749345864536252416,2016-07-02 16:55:50,"@AnonymissNegra : localizan sin vida a 2Hermos en su cuarto, al parecer tenían 3Dias sin alimentos .Santa Rita,Zulia pic.twitter.com/HUr5DVI0Px",1,9
746165534023094272,2016-06-23 22:18:21,""" @YANSELIS : #concluOEA AYUDEN AL PUEBLO VENEZOLANO NO NOS ABANDONEN ES VERDAD NOS TIENEN HUMILLADOS EN COLAS SIN CASI ALIMENTOS S.O.S""",0,7
745346993669677056,2016-06-21 16:05:45,"#LorenzoEsEscasez de alimentos , de humanismo, de ética, de vergüenza y demás valores humanos... @Kchamaure . @lubrio",0,7
745083377028562944,2016-06-20 22:38:14,@TITORODRIGUEZZ : #OEAMaduroAsesinaAVzla SIN alimentos y SIN medicinas @NaranjaRA @lizardo_jesus @ElPoliTwico pic.twitter.com/LvbRc8YXUb,2,28
742823082356805632,2016-06-14 16:56:38,#protestalosfrailes los vecinos de los frailes en catia cierran la av Sucre altura de gato negro x falta de alimentos ! #FueraMaduro #RR,1,9
742485974953951232,2016-06-13 18:37:05,"Dios provee de alimentos a Venezuela . @la_patilla . @trafficLARA niños con hambre ""NO"" #CrisisEducativaVenezuela pic.twitter.com/sL5nvWheQH """,2,8
741812623058948096,2016-06-11 22:01:26,"La tarde de hoy los vecinos de #LaVega , protestaron por la falta de alimentos . Sigamos el… https://www. instagram.com/p/BGiXL-er38x/",0,7
741386015504470016,2016-06-10 17:46:15,La @GNB_MirandaGDP Prestó Apoyo en Venta de Alimentos casa por casa en el urbanismo Pueblo Nuevo. #YoSoyGNB pic.twitter.com/qrq63inwIl,7,79
740285542911205376,2016-06-07 16:53:21,"En Carora, Nueva Esparta, Valencia, Puerto Cabello, Maturín, Boca de Uchire y Caracas protestan por falta de alimentos . #7Jun",10,74
736883720796438529,2016-05-29 07:35:44,"Hoy, Día Nacional del Adulto Mayor en Vzla, nada que celebrar, pensiones miserables que no alcanzan, sin alimentos ni medicinas! PágameBonos",2,10
735460659169792004,2016-05-25 09:21:00,En Palo Verde protestan por falta de agua y en otros puntos del país por falta de alimentos aunado a la delincuencia.,4,13
731618079302647808,2016-05-14 18:51:57,La @GNB_Pueblo Brinda seguridad y presta apoyo en Venta de Alimentos de la primera necesidad en el Edo Miranda. pic.twitter.com/UyiAqpwA68,0,7
728662524141436928,2016-05-06 15:07:38,La @GNB_Pueblo preata Apoyo en jornada de Alimentos realizada en el urbanismo el Deleite de Cúa municipio Urdaneta. pic.twitter.com/bT5qpMF77J,1,8
725138625684451328,2016-04-26 21:44:55,El que le tenga miedo a otra lista TAZCON recuerda que es peor estar en la lista de la morgue por inseguridad por falta de alimentos etc...,1,19
725030423521316864,2016-04-26 14:34:58,Hoy @CORP_PDMERCAL atendiendo al c.c cmdte Chavez con Plan de abastecimiento alimentos . Segun censo Casaxcasa. pic.twitter.com/jHyiDx7i6U,2,31
724676472653398016,2016-04-25 15:08:29,"Participando en el 2do Encuentro del Sistema Popular de Distribucion de Alimentos , fortaleciendo los CLAP. pic.twitter.com/DFH4IVB2op",4,12
724437646756421632,2016-04-24 23:19:29,En Venezuela tenemos que saber valorar empresas como Polar que trabajan a diario para producir alimentos de calidad.,196,417
718963683263647744,2016-04-09 20:47:54,14.- Las Jornadas de Mercal son generalmente un fraude. Los alimentos Regulados nunca llegan a los ciudadanos. #BachaquerosPSUV,0,14
718962709124026369,2016-04-09 20:44:02,"13.- Las estructuras del PSUV, UBCH, FFM, CComunales, reciben alimentos , y los revenden. #BachaquerosPSUV",0,27
718962169308688384,2016-04-09 20:41:53,"12.- Dentro de Mercal, PDVAL y CASA, hay funcionarios que entregan toneladas de alimentos a la estructura del PSUV. #BachaquerosPSUV",2,24
718831087108153345,2016-04-09 12:01:01,@GNB_Pueblo Brinda seguridad en Venta de Alimentos Mercal beneficiando a mas de 450 en el eje de Barlovento. pic.twitter.com/b5zTKAyKlu,0,10
711184214612267008,2016-03-19 09:35:04,#DomenicoHellmeyer y la propuesta de distribuci?n de alimentos del municipio @Chacao http:// klou.tt/h7madbjnmg3,9,8
707338565269766144,2016-03-08 17:53:50,Asegura Dip. @CEBerrizbeitia que compras de alimentos por parte del Gobierno tenían un 33% de sobreprecio por cada rubro. #SesiónAN,7,103
700451359481581570,2016-02-18 17:46:32,Boicot a la cerveza polar en cerros y barrios. Queremos camiones de comida.Desvias los alimentos al este. @NicolasMaduro #ResteadosConMaduro,0,8
697815884665131010,2016-02-11 11:14:06,Dip. @JulioBorges sugiere que el debate debe centrarse en plantearse el reto de ser un país que venda alimentos a otros. #SesiónAN,14,51
697813178219159553,2016-02-11 11:03:21,"Basado en encuestas de opinión, el Prof. España expone que parte de la población tarda más de 10 horas en conseguir alimentos . #SesiónAN",16,120
695224683692687360,2016-02-04 07:37:35,La búsqueda de alimentos afecta la escolaridad de los niños. Cerca del 30% falta a clases un día a la semana para ayudar a su familia.,0,9
690191421068951552,2016-01-21 10:17:12,¿Cómo es posible que la inflación de alimentos haya sigo de 400% en el año 2015? #PreguntaleANicolas,1,14
681295676446261248,2015-12-27 21:08:41,". @JulioBorges : Como cuarta propuesta está la “Ley de Cestaticket, de alimentos y de medicinas para los jubilados”. #FortalecerLaUnidad """,12,19
677671128429633536,2015-12-17 21:06:02,"http://www. maduradas.com/el-saqueo-del- siglo-revelan-como-funcionarios-del-regimen-robaron-mas-de-25-millardos/ … ESTO ES GRAVÍSIMO. ¿SERA POR ESTE SAQUEO QUE VENEZUELA ESTA QUEBRADA? NO HAY PRODUCCIÓN, ALIMENTOS , NI MEDICINAS",1,6
672030553353428992,2015-12-02 07:32:24,El 6-Dic.el pueblo votara por la profundización del socialismo o por los empresarios que le esconden los alimentos y que gobernaron la 4taRP,4,7
657009123075235841,2015-10-21 21:42:36,"Las colas no son solo para alimentos , los enfermos también las hacen para sus medicinas #MaduroIncapaz @maximo_sanchez",3,8
655846058812153856,2015-10-18 16:41:00,Que incongruencia Cjl @maximo_sanchez ¿Si los alimentos aumentaron 100% como el salario mínimo solo aumento un 30%? pic.twitter.com/8wineHPunB,0,7
655552384685486080,2015-10-17 21:14:02,"#LaPatriaNoSeNegocia Polar no produce alimentos ,vendeCerveza importa casi todo,recibido5.200ML$Pref pic.twitter.com/mPMmvD6hpH "" @DanielPSUV",1,6
651591268544479232,2015-10-06 22:53:59,Madres productoras de @Fundaproal3R siembran alimentos para la Patria! #ContactoConMaduroNro41 pic.twitter.com/wGq5qULXOJ,5,32
642077034068492288,2015-09-10 16:47:48,. @FP_Lara implementa políticas alimentarias para la distribución de alimentos a Casas de Alimentación @czosorio pic.twitter.com/IBYtOe2d8c,4,35
638135600537804800,2015-08-30 19:45:57,Leales al legado del Comandante Chávez!! Comprometidos con la producción comunal de alimentos !! #EnLaCalleXLaPaz pic.twitter.com/CVRnBzR24u,3,6
637760916579291136,2015-08-29 18:57:06,@Fundaproal3R ofrece alimentos elaborados por nuestras productoras en mercado comunal del edo. Lara pic.twitter.com/gggh5LHjSv,2,7
635061252667121664,2015-08-22 08:09:36,En Venezuela la excepción es la que hace el Estado al privar al pueblo de los alimentos y generar hambre,19,167
