tid,date_created,text,favorite_count,retweet_count
759126314221699073,2016-07-29 16:39:51,"http://www. cesarmiguelrondon.com/opinión-2/el-e spacio-de-mis-amigos/ese-carajito-aqui-no-entra-leonardo-padrón/ … INSÓLITA REVOLUCIÓN: INSEGURIDAD, HAMBRE, MISERIA, ESCASEZ , REPRESIÓN, CORRUPCIÓN, INFLACIÓN, DICTADURA",1,6
749647141199568896,2016-07-03 12:53:00,Un país quebrado donde abunda la escasez y el régimen practicando para el circo del martes 5 de julio. Aviones sobrevuelan Caracas.,2,13
731607566170636288,2016-05-14 18:10:11,"http:// video-lga3-1.xx.fbcdn.net/v/t42.1790-2/1 3219508_220656958320203_1432193115_n.mp4?efg=eyJybHIiOjMwMCwicmxhIjo1MTIsInZlbmNvZGVfdGFnIjoic3ZlX3NkIn0%3D&oh=bf2e8e243b063105c4acfe22aab1a164&oe=5738C2C8 … EN VENEZUELA HAY ESCASEZ , CORRUPCIÓN, INSEGURIDAD, INFLACIÓN, DEVALUACIONES, HOSPITALES SIN INSUMO, HAMBRE",3,9
728732919703932929,2016-05-06 19:47:21,"¡AGOBIADA POR LA BRUTAL ESCASEZ ! Se suicida por no encontrar comida para sus hijos http:// goo.gl/CFn0o4 """,0,8
716233253963833345,2016-04-02 07:58:09,""" @jorgemillant : El hambre, la escasez y la inseguridad tienen solución #VzlaExigeRevocatorio pic.twitter.com/4VNg9NI7Vd """,0,7
706183559057448961,2016-03-05 13:24:15,"@Esteban_reload :Delcy Rodríguez: Comandante Chávez,estamos aquí cumpliendo tu legado.LEGADO: INSEGURIDAD,HAMBRE,MISERIA, CORRUPCIÓN, ESCASEZ",1,7
697743206809739264,2016-02-11 06:25:18,"7:30 am con @cmrondon , @jmaragall abordará el tema de escasez y #aulasvacias . La crisis tiene un impacto inesperado en la escolaridad.",8,22
694878155534921728,2016-02-03 08:40:37,Supermercado en Chacaito super cola .Cada día hay mas #Escasez #VzlaSinComida … https://www. instagram.com/p/BBU32zSyMyt/,1,13
694701205923172352,2016-02-02 20:57:29,"Twitter convertida en red social de tristeza, angustia y frustración por la desgracia de la escasez de medicinas e indolencia del régimen.",6,38
694460867950309376,2016-02-02 05:02:28,""" @ElColumnero : ""No hay escasez , todo es “Una técnica psicológica que aplican los burgueses”, dice Nicolás Maduro."" @FaustoMaso http",0,10
689548519057813504,2016-01-19 15:42:32,Diputados de la Unidad planteamos Proyecto de Acuerdo sobre la Problemática del Agua.SITUACIÓN DE ESCASEZ Y MALA CALIDAD DE AGUA ES TERRIBLE,2,15
688164159146438656,2016-01-15 20:01:35,"Los 8 motores estàn prendidos: escasez , inflaciòn, inseguridad, corrupciòn incapacidad cinismo arbitrariedad y habladera estéril",4,14
666592142664581120,2015-11-17 07:22:06,No hay huevos a 400 bs el cartón. Como siempre un control populista deriva en escasez en perjuicio del pueblo.,0,11
657014836551897089,2015-10-21 22:05:18,Más control de precios con fines electoreros . Se repite la misma estupidez que nos trajo a esta nefasta escasez,1,11
651920822001643520,2015-10-07 20:43:30,""" @Kimkerenlly : @jennyoro1 Jenny están quemando caucho en NvaCasarapa también por la falta d agua""-Siguen los disturbios por la escasez d agua",4,60
621107248526438401,2015-07-14 20:01:22,"#QueInhabiliten La pobreza, la delincuencia, la corrupción, la escasez ,la incertidumbre, #ArtistasPorVzla pic.twitter.com/hkazUvUseY",23,96
615256201404751872,2015-06-28 16:31:23,"Hoy por la continuación del hampa, miseria, muerte, escasez de alimentos, corrupción. Eso significa votar PSUV. pic.twitter.com/GDKvIQEgTV",1,8
